Team 1,Agg.,Team 2,1st leg,2nd leg
Shakhtyor Soligorsk,Bye,,—,—
RFS,Bye,,—,—
La Fiorita,0–10,Ballkani,0–4,0–6
Víkingur Reykjavík,2–0,The New Saints,2–0,0–0
Sutjeska Nikšić,0–1,KÍ Klaksvík,0–0,0–1
Hibernians,4–3,FCI Levadia,3–2,1–1
Tirana,2–4,Zrinjski Mostar,0–1,2–3
Lech Poznań,6–1,Dinamo Batumi,5–0,1–1
CFR Cluj,4–1,Inter Club d'Escaldes,3–0,1–1
Tobol,3–0,Lincoln Red Imps,2–0,1–0
Gżira United,5–5 (3–1 p),Radnički Niš,2–2,3–3 (a.e.t.)
Aris,7–2[A],Gomel,5–1,2–1
Botev Plovdiv,0–2,APOEL,0–0,0–2
Fehérvár,5–3,Gabala,4–1,1–2
İstanbul Başakşehir,2–1,Maccabi Netanya,1–1,1–0
Aris Limassol,2–3,Neftçi Baku,2–0,0–3
Velež Mostar,0–2,Ħamrun Spartans,0–1,0–1
Saburtalo Tbilisi,3–4,FCSB,1–0,2–4
Makedonija Gjorče Petrov,0–4[A],CSKA Sofia,0–0,0–4
Hapoel Be'er Sheva,3–1,Dinamo Minsk,2–1,1–0
Zira,0–3,Maccabi Tel Aviv,0–3,0–0
Vllaznia,1–4,Universitatea Craiova,1–1,0–3
Ararat-Armenia,0–0 (3–5 p),Paide Linnameeskond,0–0,0–0 (a.e.t.)
Kairat,0–2,Kisvárda,0–1,0–1
BATE Borisov,0–5,Konyaspor,0–3,0–2
Sepsi Sfântu Gheorghe,3–3 (4–2 p),Olimpija Ljubljana,3–1,0–2 (a.e.t.)
Kyzylzhar,3–2,Osijek,1–2,2–0
Liepāja,0–4,Young Boys,0–1,0–3
Rapid Wien,2–1,Lechia Gdańsk,0–0,2–1
SJK,2–6,Lillestrøm,0–1,2–5
Breiðablik,3–2,Budućnost Podgorica,2–0,1–2
St Patrick's Athletic,1–1 (6–5 p),Mura,1–1,0–0 (a.e.t.)
St Joseph's,0–11,Slavia Prague,0–4,0–7
Spartak Trnava,6–2,Newtown,4–1,2–1
Sūduva,0–2,Viborg,0–1,0–1
Víkingur,0–4,DAC Dunajská Streda,0–2,0–2
Pogoń Szczecin,1–5,Brøndby,1–1,0–4
AZ,5–0[A],Tuzla City,1–0,4–0
Motherwell,0–3,Sligo Rovers,0–1,0–2
Molde,6–2,Elfsborg,4–1,2–1
Koper,1–2,Vaduz,0–1,1–1 (a.e.t.)
B36 Tórshavn,1–0,Tre Fiori,1–0,0–0
Ružomberok,1–5,Riga,0–3,1–2
Basel,3–1,Crusaders,2–0,1–1
Antwerp,2–0,Drita,0–0,2–0
Petrocub Hîncești,4–1,Laçi,0–0,4–1
Racing Union,1–8,Čukarički,1–4,0–4
Levski Sofia,3–1,PAOK,2–0,1–1
Vitória de Guimarães,3–0,Puskás Akadémia,3–0,0–0
Rijeka,1–4,Djurgårdens IF,1–2,0–2
Vorskla Poltava,3–4[A],AIK,3–2,0–2 (a.e.t.)
Valmiera,2–5,Shkëndija,1–2,1–3
Raków Częstochowa,6–0,Astana,5–0,1–0
KuPS,6–3,Milsami Orhei,2–2,4–1
Sparta Prague,1–2,Viking,0–0,1–2
